stage: 1
0 0.0563027 0.539405
0 0.0564167 0.539398
0 0.0565307 0.539392
0 0.0566446 0.539383
0 0.0567586 0.539349
0 0.0568726 0.539348
0 0.0569866 0.539342
0 0.0571005 0.539327
0 0.0572145 0.539323
0 0.0573285 0.539322
0 0.0574424 0.53931
0 0.0575564 0.539304
0 0.0576704 0.539302
0 0.0577844 0.539301
0 0.0578983 0.53929
0 0.0580123 0.539289
0 0.0581263 0.539273
0 0.0582403 0.539257
0 0.0583542 0.539232
0 0.0584682 0.53923
0 0.0585822 0.539229
0 0.0586961 0.539227
0 0.0588101 0.539212
0 0.0589241 0.539171
0 0.0590381 0.539171
0 0.059152 0.539161
0 0.059266 0.539155
0 0.05938 0.539142
0 0.059494 0.53914
0 0.0596079 0.539129
0 0.0597219 0.539124
0 0.0598359 0.539119
0 0.0599499 0.539109
0 0.0600638 0.539102
0 0.0601778 0.539096
0 0.0602918 0.539085
0 0.0604057 0.539084
0 0.0605197 0.539076
0 0.0606337 0.539068
0 0.0607477 0.539066
0 0.0608616 0.53905
0 0.0609756 0.539034
0 0.0610896 0.539024
0 0.0612036 0.539024
0 0.0613175 0.539013
0 0.0614315 0.539011
0 0.0615455 0.539003
0 0.0616594 0.538997
0 0.0617734 0.538997
0 0.0618874 0.538991
0 0.0620014 0.538941
0 0.0621153 0.538932
0 0.0622293 0.538929
0 0.0623433 0.538918
0 0.0624573 0.538915
0 0.0625712 0.538913
0 0.0626852 0.538907
0 0.0627992 0.538898
0 0.0629132 0.538898
0 0.0630271 0.538886
0 0.0631411 0.538886
0 0.0632551 0.538883
0 0.063369 0.538878
0 0.063483 0.538876
0 0.063597 0.538869
0 0.063711 0.538851
0 0.0638249 0.538843
0 0.0639389 0.538841
0 0.0640529 0.538823
0 0.0641669 0.538819
0 0.0642808 0.538818
0 0.0643948 0.538817
0 0.0645088 0.538812
0 0.0646227 0.538808
0 0.0647367 0.538803
0 0.0648507 0.538801
0 0.0649647 0.538791
0 0.0650786 0.538791
0 0.0651926 0.538785
0 0.0653066 0.538773
0 0.0654206 0.538766
0 0.0655345 0.538765
0 0.0656485 0.538757
0 0.0657625 0.538755
0 0.0658765 0.538739
0 0.0659904 0.53873
0 0.0661044 0.538721
0 0.0662184 0.538714
0 0.0663323 0.538698
0 0.0664463 0.538693
0 0.0665603 0.538691
0 0.0666743 0.538673
0 0.0667882 0.538671
0 0.0669022 0.538666
0 0.0670162 0.538664
0 0.0671302 0.538662
0 0.0672441 0.538647
0 0.0673581 0.538645
0 0.0674721 0.538643
0 0.067586 0.538641
0 0.0677 0.538635
0 0.067814 0.538584
0 0.067928 0.538582
0 0.0680419 0.538556
0 0.0681559 0.538549
0 0.0682699 0.538544
0 0.0683839 0.538535
0 0.0684978 0.538524
0 0.0686118 0.538523
0 0.0687258 0.538522
0 0.0688398 0.538514
0 0.0689537 0.538508
0 0.0690677 0.53849
0 0.0691817 0.538467
0 0.0692956 0.538462
0 0.0694096 0.538461
0 0.0695236 0.538458
0 0.0696376 0.538453
0 0.0697515 0.53845
0 0.0698655 0.538441
0 0.0699795 0.538421
0 0.0700935 0.53842
0 0.0702074 0.538412
0 0.0703214 0.538408
0 0.0704354 0.538398
0 0.0705494 0.538392
0 0.0706633 0.538384
0 0.0707773 0.538364
0 0.0708913 0.538361
0 0.0710052 0.538359
0 0.0711192 0.538356
0 0.0712332 0.538346
0 0.0713472 0.538342
0 0.0714611 0.538339
0 0.0715751 0.538333
0 0.0716891 0.538333
0 0.0718031 0.538332
0 0.071917 0.538326
0 0.072031 0.538294
0 0.072145 0.538265
0 0.0722589 0.538257
0 0.0723729 0.538253
0 0.0724869 0.538251
